Player,Pos,Ht,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
Lauri Markkanen,PF,7-0,26,10,10,37.0,8.1,16.7,.485,4.1,9.2,.446,4.0,7.5,.533,.608,3.9,4.4,.886,2.4,6.2,8.6,1.6,0.9,0.8,1.7,2.5,24.2,335,22.5,.649,.551,.263,7.6,20.7,14.0,7.7,1.3,2.2,8.4,24.7,1.1,0.1,1.2,.174,6.4,-2.0,4.5,0.5
Jordan Clarkson,SG,6-4,31,10,10,34.0,5.9,15.2,.388,1.5,5.2,.288,4.4,10.0,.440,.438,3.2,3.8,.842,1.6,2.0,3.6,4.9,0.8,0.2,3.7,1.5,16.5,313,10.6,.489,.342,.250,5.5,7.1,6.3,23.2,1.2,0.6,18.0,26.7,-0.2,-0.1,-0.3,-0.042,-2.2,-4.3,-6.6,-0.4
John Collins,PF,6-9,26,10,10,34.0,5.6,10.3,.544,1.5,3.5,.429,4.1,6.8,.603,.617,2.3,3.2,.719,2.5,5.5,8.0,0.9,0.6,0.7,1.3,3.5,15.0,311,15.9,.641,.340,.311,8.6,19.8,14.0,4.2,0.9,2.1,10.0,17.0,0.6,0.1,0.7,.107,0.4,-2.3,-1.9,0.0
Talen Horton-Tucker,PG,6-4,23,10,8,26.0,4.0,10.0,.400,1.3,3.7,.351,2.7,6.3,.429,.465,0.7,0.9,.778,0.6,2.6,3.2,5.2,1.0,0.6,2.3,2.1,10.0,234,12.0,.481,.370,.090,2.7,12.4,7.5,32.0,2.0,2.3,18.1,22.1,0.0,0.1,0.0,.007,-1.0,-1.1,-2.2,0.0
Keyonte George,PG,6-4,20,10,2,25.0,2.6,6.9,.377,1.2,3.9,.308,1.4,3.0,.467,.464,0.9,1.2,.750,0.4,1.9,2.3,4.6,0.3,0.2,1.7,0.9,7.3,226,9.3,.491,.565,.174,1.9,9.4,5.6,27.2,0.6,0.8,18.6,16.4,0.1,-0.1,0.0,.002,-1.8,-3.3,-5.0,-0.2
Kelly Olynyk,C,6-11,32,10,0,22.0,2.7,4.5,.600,0.7,1.7,.412,2.0,2.8,.714,.678,1.2,1.4,.857,1.9,3.5,5.4,3.4,1.1,0.2,1.8,3.1,7.3,204,16.8,.713,.378,.311,9.9,19.2,14.5,22.8,2.6,0.9,26.0,13.8,0.4,0.1,0.5,.128,0.5,0.9,1.4,0.2
Collin Sexton,SG,6-1,25,10,0,20.0,4.0,8.7,.460,0.9,2.7,.333,3.1,6.0,.517,.511,3.3,3.8,.868,0.7,1.4,2.1,2.7,0.1,0.1,2.0,1.6,12.2,188,15.1,.588,.310,.437,4.0,8.3,6.1,22.0,0.3,0.5,16.2,26.8,0.3,-0.1,0.2,.054,0.3,-4.0,-3.7,-0.1
Ochai Agbaji,SG,6-5,23,10,2,18.0,1.7,4.1,.415,1.0,2.7,.370,0.7,1.4,.500,.537,0.0,0.2,.000,0.5,1.7,2.2,1.0,0.2,0.6,0.7,1.3,4.4,163,7.4,.525,.659,.049,3.3,11.7,7.4,8.1,0.6,3.4,14.3,12.2,0.0,0.0,0.0,.000,-2.3,-1.8,-4.1,-0.1
Kris Dunn,PG,6-3,29,8,0,14.0,1.6,4.0,.406,0.4,1.0,.375,1.3,3.0,.417,.453,0.5,0.8,.667,0.4,1.9,2.3,2.5,0.6,0.0,1.3,1.6,4.1,102,9.1,.476,.250,.188,3.1,16.5,9.6,26.6,2.3,0.0,22.4,17.8,-0.1,0.0,0.0,-0.010,-5.1,-0.7,-5.8,-0.1
Simone Fontecchio,SF,6-8,28,8,0,10.0,2.0,4.0,.500,1.1,2.6,.429,0.9,1.4,.636,.641,0.0,0.0,0.0,0.8,1.3,2.0,0.5,0.3,0.3,1.0,0.8,5.1,80,13.8,.641,.656,.000,8.0,14.0,10.9,7.5,1.2,2.3,20.0,20.3,0.0,0.0,0.0,.021,1.1,-2.8,-1.7,0.0
UTA,14.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2PT% Margin Home,3PT% Margin Home,2PT% Margin Away,3PT% Margin Away,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.004569647734435245,0.025572567005664737,0.004569647734435245,-0.025572567005664737,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
