Player,Pos,Ht,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
P.J. Washington,PF,6-7,24,73,73,39.0,5.9,13.4,.444,2.0,5.9,.348,3.9,7.5,.518,.520,1.7,2.4,.730,1.0,3.9,4.9,2.4,0.9,1.1,1.5,2.6,15.7,2380,12.9,.542,.438,.178,3.2,13.0,8.0,11.0,1.3,2.9,9.4,20.6,0.4,2.2,2.6,.052,-1.0,-0.3,-1.3,0.4
Gordon Hayward,SF,6-7,32,50,50,37.0,5.5,11.6,.475,1.0,3.2,.325,4.5,8.4,.532,.520,2.6,3.2,.811,0.7,3.6,4.3,4.1,0.8,0.2,2.0,1.4,14.7,1577,13.5,.563,.275,.274,2.2,12.6,7.3,19.3,1.3,0.7,13.2,20.0,0.8,1.1,2.0,.059,-1.1,-0.3,-1.4,0.2
Svi Mykhailiuk,SF,6-7,25,19,8,27.0,3.7,8.5,.441,1.9,4.7,.404,1.8,3.8,.486,.553,1.2,1.8,.676,0.8,1.6,2.4,2.7,0.7,0.2,1.2,1.2,10.6,428,13.8,.571,.553,.211,3.7,7.9,5.7,17.7,1.6,0.8,11.1,19.5,0.4,0.3,0.7,.076,0.3,-0.8,-0.5,0.2
Théo Maledon,PG,6-4,21,44,7,23.0,2.3,5.8,.402,0.6,2.2,.295,1.7,3.6,.465,.457,1.4,1.7,.851,0.3,2.5,2.8,3.5,0.8,0.3,1.3,1.4,6.7,854,11.6,.515,.374,.291,1.7,13.9,7.7,24.2,2.1,1.2,17.1,17.0,0.0,0.9,0.8,.047,-3.0,0.5,-2.5,-0.1
Mark Williams,C,7-1,21,43,17,23.0,3.7,5.8,.637,0.0,0.0,,3.7,5.8,.637,.637,1.6,2.3,.691,2.2,4.9,7.1,0.4,0.7,1.0,0.9,2.2,9.0,828,19.8,.659,.000,.386,11.7,27.7,19.6,3.3,1.6,4.7,12.0,17.0,1.5,1.3,2.8,.163,-0.5,0.6,0.1,0.4
Nick Richards,C,7-0,25,65,9,22.0,3.0,4.8,.629,0.0,0.0,1.000,3.0,4.8,.628,.631,2.1,2.8,.749,2.3,4.1,6.4,0.6,0.2,1.1,0.9,2.4,8.2,1217,18.3,.676,.003,.585,12.6,24.0,18.2,4.5,0.4,5.1,13.0,15.6,2.7,1.5,4.2,.165,-1.0,-0.2,-1.3,0.2
Bryce McGowens,SG,6-7,20,46,7,20.0,1.7,4.4,.396,0.6,1.7,.325,1.2,2.7,.443,.460,1.3,1.7,.750,0.4,1.6,2.0,1.2,0.3,0.1,0.9,1.0,5.3,787,7.2,.519,.396,.396,2.7,10.1,6.3,9.1,0.9,0.7,15.3,15.0,-0.4,0.4,0.1,.005,-4.6,-1.4,-6.0,-0.8
James Bouknight,SG,6-5,22,34,0,18.0,2.0,5.7,.358,1.0,3.2,.303,1.1,2.5,.429,.443,0.6,0.9,.667,0.2,1.9,2.1,1.2,0.4,0.1,0.9,1.4,5.6,515,6.2,.463,.565,.155,1.6,13.5,7.5,11.1,1.3,0.8,13.4,19.5,-0.8,0.4,-0.4,-0.040,-5.4,-1.1,-6.5,-0.6
JT Thor,PF,6-10,20,69,8,17.0,1.4,3.4,.399,0.6,1.8,.317,0.8,1.7,.487,.481,0.5,0.7,.702,0.5,1.7,2.2,0.5,0.3,0.3,0.6,1.0,3.8,969,7.0,.506,.517,.197,3.9,13.0,8.4,4.9,1.1,2.1,14.5,13.1,-0.6,0.8,0.2,.009,-4.3,-0.4,-4.7,-0.7
Xavier Sneed,SF,6-5,25,4,0,14.0,1.3,2.5,.500,0.8,1.5,.500,0.5,1.0,.500,.650,1.0,1.0,1.000,0.0,1.3,1.3,1.3,0.0,0.3,0.8,1.8,4.3,48,9.5,.723,.600,.400,0.0,11.3,5.6,13.9,0.0,1.8,20.3,12.9,0.1,0.0,0.1,.086,-3.1,-0.4,-3.6,0.0
CHA,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
