Player,Pos,Ht,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
Nikola Jokić,C,6-11,28,5,5,43.0,11.0,18.2,.604,1.4,4.0,.350,9.6,14.2,.676,.643,2.8,4.0,.700,2.2,9.6,11.8,7.4,0.4,0.8,4.2,1.8,26.2,166,28.8,.656,.220,.220,7.8,30.2,19.6,36.3,0.6,2.0,17.4,31.7,0.5,0.3,0.9,.247,6.9,2.5,9.4,0.5
Kentavious Caldwell-Pope,SG,6-5,30,5,5,41.0,3.6,7.2,.500,1.6,3.6,.444,2.0,3.6,.556,.611,1.0,1.0,1.000,0.2,1.8,2.0,0.6,2.4,1.0,1.4,2.8,9.8,161,10.7,.641,.500,.139,0.7,5.8,3.4,2.2,3.6,2.5,15.5,12.2,0.0,0.3,0.3,.104,-3.8,2.1,-1.7,0.0
Aaron Gordon,PF,6-8,28,5,5,36.0,5.6,8.8,.636,0.2,1.0,.200,5.4,7.8,.692,.648,0.4,1.6,.250,1.6,2.6,4.2,2.8,1.2,1.2,1.4,2.0,11.8,140,17.5,.621,.114,.182,6.7,9.7,8.3,13.4,2.1,3.5,12.8,17.0,0.2,0.2,0.5,.156,-0.2,0.7,0.5,0.1
Michael Porter Jr.,SF,6-10,25,5,5,33.0,4.2,10.6,.396,2.0,6.4,.313,2.2,4.2,.524,.491,0.4,0.4,1.000,1.6,6.4,8.0,2.0,0.6,0.4,0.6,2.2,10.8,127,14.4,.501,.604,.038,7.4,26.3,17.4,10.1,1.1,1.3,5.3,19.5,0.1,0.2,0.3,.126,-0.6,-1.3,-2.0,0.0
Reggie Jackson,PG,6-2,33,5,0,27.0,3.0,6.8,.441,1.0,3.2,.313,2.0,3.6,.556,.515,0.0,0.2,.000,0.2,1.6,1.8,3.8,1.0,0.4,1.2,1.2,7.0,105,12.2,.508,.471,.029,1.1,8.0,4.7,22.5,2.3,1.6,14.8,16.8,0.0,0.2,0.2,.085,-2.3,0.1,-2.2,0.0
Peyton Watson,SG,6-8,21,5,0,21.0,3.2,5.0,.640,0.8,2.2,.364,2.4,2.8,.857,.720,0.4,0.8,.500,0.2,2.0,2.2,0.4,0.4,1.2,0.8,1.4,7.6,81,16.5,.710,.440,.160,1.4,12.9,7.5,3.3,1.2,6.0,13.0,16.5,0.1,0.1,0.2,.147,-0.6,0.6,-0.1,0.0
Zeke Nnaji,PF,6-9,23,5,0,17.0,2.0,3.8,.526,0.2,0.8,.250,1.8,3.0,.600,.553,1.0,1.4,.714,0.8,1.6,2.4,0.4,0.4,0.8,0.4,1.6,5.2,70,13.9,.589,.211,.368,6.7,11.9,9.5,3.6,1.4,4.7,8.3,15.0,0.1,0.1,0.2,.145,-2.0,0.3,-1.7,0.0
Julian Strawther,SF,6-7,21,4,0,11.0,1.8,4.5,.389,0.8,2.8,.273,1.0,1.8,.571,.472,0.0,0.3,.000,0.0,0.8,0.8,0.3,0.3,0.5,0.0,0.5,4.3,35,11.2,.461,.611,.056,0.0,8.9,4.7,3.8,1.4,4.7,0.0,23.0,0.0,0.1,0.0,.031,-1.5,-1.3,-2.8,0.0
Justin Holiday,SG,6-6,34,2,0,6.0,0.5,1.0,.500,0.5,1.0,.500,0.0,0.0,0.0,.750,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,1.5,9,10.6,.750,1.000,.000,0.0,11.6,6.1,0.0,0.0,0.0,0.0,9.7,0.0,0.0,0.0,.130,1.5,-1.4,0.2,0.0
Hunter Tyson,PF,6-8,23,2,0,5.0,0.5,1.0,.500,0.0,0.5,.000,0.5,0.5,1.000,.500,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.5,1.0,8,2.0,.500,.500,.000,0.0,26.1,13.8,0.0,0.0,0.0,0.0,10.9,0.0,0.0,0.0,.068,-10.4,-0.6,-11.0,0.0
DEN,15.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2PT% Margin Home,3PT% Margin Home,2PT% Margin Away,3PT% Margin Away,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.03005667353618613,0.026041146509537594,-0.03005667353618624,-0.02604114650953754,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
