Player,Pos,Ht,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
Tyler Herro,SG,6-5,24,6,6,38.0,9.7,21.3,.453,3.8,8.5,.451,5.8,12.8,.455,.543,2.7,3.0,.889,0.3,5.3,5.7,5.0,1.2,0.0,2.3,1.7,25.8,229,18.3,.570,.398,.141,0.9,15.7,8.0,22.9,1.5,0.0,9.3,28.4,0.3,0.2,0.5,.099,2.1,-1.4,0.7,0.2
Bam Adebayo,C,6-9,26,5,5,32.0,8.0,15.4,.519,0.0,0.2,.000,8.0,15.2,.526,.519,5.4,7.2,.750,2.0,5.2,7.2,2.6,0.6,1.2,3.4,2.2,21.4,163,18.1,.576,.013,.468,6.3,17.9,11.9,13.7,0.9,3.3,15.5,29.2,0.1,0.2,0.2,.068,-1.6,-0.9,-2.4,0.0
Kyle Lowry,PG,6-0,37,6,6,29.0,2.0,4.8,.414,1.5,3.8,.391,0.5,1.0,.500,.569,0.0,0.0,0.0,0.7,3.3,4.0,4.7,1.5,0.5,1.8,2.7,5.5,179,9.4,.569,.793,.000,2.3,12.5,7.2,20.6,2.4,1.5,27.5,9.7,0.0,0.2,0.2,.067,-3.9,1.2,-2.7,0.0
Josh Richardson,SG,6-5,30,3,0,25.0,2.7,7.3,.364,0.7,3.0,.222,2.0,4.3,.462,.409,0.7,1.0,.667,0.0,3.0,3.0,3.3,0.3,0.0,0.7,2.3,6.7,79,6.0,.429,.409,.136,0.0,12.8,6.1,17.5,0.6,0.0,7.9,13.9,0.0,0.0,0.0,.006,-6.0,-1.9,-7.9,-0.1
Duncan Robinson,SF,6-7,29,6,0,24.0,4.5,9.7,.466,2.7,7.0,.381,1.8,2.7,.688,.603,0.0,0.0,0.0,0.5,1.3,1.8,1.8,0.3,0.0,0.7,2.2,11.7,148,12.2,.603,.724,.000,2.1,6.1,4.0,11.5,0.7,0.0,6.5,18.2,0.2,0.1,0.3,.082,-0.3,-2.3,-2.6,0.0
Haywood Highsmith,PF,6-7,27,2,1,21.0,3.0,4.5,.667,2.5,3.5,.714,0.5,1.0,.500,.944,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.5,0.5,1.5,1.5,8.5,44,12.8,.944,.778,.000,0.0,10.2,4.9,6.6,1.1,2.1,25.0,11.8,0.1,0.0,0.1,.093,0.7,-0.5,0.2,0.0
Kevin Love,PF,6-8,35,3,3,21.0,2.7,7.3,.364,2.0,5.0,.400,0.7,2.3,.286,.500,1.0,1.3,.750,1.3,6.7,8.0,2.3,0.3,0.0,1.0,2.3,8.3,66,12.8,.526,.682,.182,6.3,34.0,19.5,15.0,0.7,0.0,11.2,17.6,0.0,0.1,0.1,.091,-0.9,-1.0,-1.9,0.0
Jaime Jaquez Jr.,SF,6-7,22,6,2,18.0,2.3,5.3,.438,0.5,2.5,.200,1.8,2.8,.647,.484,0.2,0.2,1.000,1.0,2.0,3.0,2.0,1.0,0.3,1.2,1.8,5.3,109,10.4,.493,.469,.031,5.7,12.3,8.9,15.8,2.7,1.7,17.7,15.7,0.0,0.1,0.1,.039,-4.0,0.4,-3.6,0.0
Dru Smith,SG,6-3,26,3,0,17.0,2.0,4.0,.500,1.3,2.0,.667,0.7,2.0,.333,.667,0.0,0.0,0.0,0.3,0.7,1.0,2.7,1.3,0.3,0.7,1.3,5.3,54,14.6,.667,.500,.000,1.9,4.2,3.0,20.7,3.6,1.7,14.3,11.3,0.1,0.1,0.2,.146,-0.5,3.0,2.5,0.1
Thomas Bryant,C,6-10,26,6,1,15.0,2.8,5.3,.531,0.0,0.3,.000,2.8,5.0,.567,.531,1.7,2.2,.769,1.5,2.8,4.3,0.8,0.7,0.3,1.3,1.7,7.3,95,15.5,.583,.063,.406,9.8,20.1,14.7,8.1,2.0,1.9,17.5,20.9,0.1,0.1,0.2,.087,-3.4,-1.1,-4.5,-0.1
MIA,14.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2PT% Margin Home,3PT% Margin Home,2PT% Margin Away,3PT% Margin Away,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.023223051390712013,-0.000886699507389177,-0.02322305139071207,0.0008866995073891215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
